Station,Country,County,TOC,Visited,Latitude,Longitude,Date
Greenfield,England,Greater Manchester,Northern,No,53.5388596318608,-2.01384369909123,
Greenford,England,London (City Of),London Underground,No,51.5423301826924,-0.345837203687885,
Greenhithe,England,Kent,Southeastern,No,51.4503695823852,0.280290118678753,
Greenock Central,Scotland,Inverclyde,ScotRail,No,55.9453458030869,-4.75263519677792,
Greenock West,Scotland,Inverclyde,ScotRail,No,55.9473421500839,-4.76783441808454,
Greenwich,England,London (City Of),Southeastern,No,51.478133366978,-0.013339927226544,
Gretna Green,Scotland,Dumfries and Galloway,ScotRail,No,55.0010499904167,-3.06519852950793,
Grimsby Docks,England,Lincolnshire,East Midlands Trains,No,53.5743199678321,-0.0756172875545137,
Grimsby Town,England,Lincolnshire,Transpennine Express,No,53.5634269192435,-0.0869839520639892,
Grindleford,England,Derbyshire,Northern,No,53.3055624866971,-1.62629684321943,
Grosmont,England,North Yorkshire,Northern,No,54.4361127385958,-0.724965652276441,
Grove Park,England,London (City Of),Southeastern,No,51.4308613774598,0.0217254815980876,
Guide Bridge,England,Greater Manchester,Northern,No,53.4746291381174,-2.11371083446596,
Guildford ,England,Surrey,Network Rail,No,51.2369694290095,-0.580425041311442,
Guiseley,England,West Yorkshire,Northern,No,53.8759354199738,-1.71508009314658,
Gunnersbury,England,London (City Of),London Underground,No,51.491676370171,-0.275286434982196,
Gunnislake,England,Cornwall,Great Western Railway,No,50.5160873764122,-4.21940651718442,
Gunton,England,Norfolk,Greater Anglia,No,52.8663427403447,1.34911622990825,
Gwersyllt,Wales,Wrecsam - Wrexham,Transport for Wales,No,53.0725775216154,-3.01788857383521,
Gypsy Lane,England,North Yorkshire,Northern,No,54.5328916495178,-1.17939215630242,
Habrough,England,Lincolnshire,East Midlands Trains,No,53.6060750257549,-0.269461323075939,
Hackbridge,England,London (City Of),GTR,No,51.3778703391452,-0.153907557296679,
Hackney Central,England,London (City Of),London Overground,No,51.5471033371116,-0.05605761519121,
Hackney Downs,England,London (City Of),London Overground,No,51.5487558416146,-0.0608190190969979,
Hackney Wick,England,London (City Of),London Overground,No,51.5434088064448,-0.0249198567732405,
Haddenham & Thame Parkway,England,Buckinghamshire,Chiltern Railways,No,51.7708550752323,-0.942137163541627,
Haddiscoe,England,Norfolk,Greater Anglia,No,52.5287829223008,1.62300695115001,
Hadfield,England,Derbyshire,Northern,No,53.4607461868179,-1.96532069137142,
Hadley Wood,England,London (City Of),GTR,No,51.6684954399645,-0.176172558385927,
Hag Fold,England,Greater Manchester,Northern,No,53.5338545721892,-2.49482190837221,
Haggerston,England,London (City Of),London Overground,No,51.5387038848962,-0.0756665511018363,
Hagley,England,Worcestershire,West Midlands Trains,No,52.4224915714766,-2.14641735922659,
Hairmyres,Scotland,South Lanarkshire,ScotRail,No,55.7619706251142,-4.22001179037031,
Hale,England,Greater Manchester,Northern,No,53.37871974134,-2.34735707887452,
Halesworth,England,Suffolk,Greater Anglia,No,52.3468123386401,1.50566724409269,
Halewood,England,Merseyside,Northern,No,53.3644822484192,-2.83013437129598,
Halifax,England,West Yorkshire,Northern,No,53.7209620544181,-1.85357493347212,
Hall Green,England,West Midlands,West Midlands Trains,No,52.4369106872099,-1.84565106858289,
Hall i' th' Wood,England,Greater Manchester,Northern,No,53.5974249930564,-2.41310999594702,
Hall Road,England,Merseyside,Merseyrail,No,53.4974890539194,-3.04962755982687,
Halling,England,Kent,Southeastern,No,51.3524753935197,0.444931769399534,
Haltwhistle,England,Northumberland,Northern,No,54.9678514502275,-2.46356531907909,
Ham Street,England,Kent,Southeastern,No,51.0683754548441,0.854506282072355,
Hamble ,England,Hampshire,South Western Railway,No,50.8713750749217,-1.32916216397532,
Hamilton Central,Scotland,South Lanarkshire,ScotRail,No,55.7731983159363,-4.0388857141295,
Hamilton West,Scotland,South Lanarkshire,ScotRail,No,55.7788645846798,-4.05480903727555,
Hammerton,England,North Yorkshire,Northern,No,53.9963302971634,-1.28409568774822,
Hampden Park,England,East Sussex,GTR,No,50.7964037646054,0.279355781887921,
Hampstead Heath,England,London (City Of),London Overground,No,51.5552087499737,-0.165705423537251,
Hampton,England,London (City Of),South Western Railway,No,51.4159332805517,-0.372118964249262,
Hampton Court ,England,Surrey,South Western Railway,No,51.4025545250828,-0.342747730939869,
Hampton Wick,England,London (City Of),South Western Railway,No,51.4145232919642,-0.312489539027649,
Hampton-in-Arden,England,West Midlands,West Midlands Trains,No,52.4290342253656,-1.69993074934828,
Hamstead,England,West Midlands,West Midlands Trains,No,52.531069889457,-1.9289779395104,
Hamworthy,England,Dorset,South Western Railway,No,50.7251934395072,-2.01935721018784,
Hanborough,England,Oxfordshire,Great Western Railway,No,51.8251586675452,-1.37352555785945,
Handforth,England,Cheshire,Northern,No,53.3464951553287,-2.21363358276894,
Hanwell,England,London (City Of),TfL Rail,No,51.5118337981012,-0.338583504755238,
Hapton,England,Lancashire,Northern,No,53.7816162126783,-2.31691170077186,
Harlech,Wales,Gwynedd - Gwynedd,Transport for Wales,No,52.8613335573465,-4.10919139634257,
Harlesden,England,London (City Of),London Underground,No,51.5362878581776,-0.257667575799678,
Harling Road,England,Norfolk,Greater Anglia,No,52.4536867289203,0.909142231833124,
Harlington,England,Bedfordshire,GTR,No,51.9620611815389,-0.495689942455639,
Harlow Mill,England,Essex,Greater Anglia,No,51.7903635492669,0.132307549909169,
Harlow Town,England,Essex,Greater Anglia,No,51.7810684903414,0.0951317934868605,
Harold Wood,England,London (City Of),TfL Rail,No,51.5927640548293,0.233128597584999,
Harpenden,England,Hertfordshire,GTR,No,51.8146437751381,-0.351480529620267,
Harrietsham,England,Kent,Southeastern,No,51.2448300347931,0.672399308718271,
Harringay,England,London (City Of),GTR,No,51.5773567448582,-0.105136139047123,
Harringay Green Lanes,England,London (City Of),London Overground,No,51.5771806696452,-0.098143778306645,
Harrington,England,Cumbria,Northern,No,54.6134885880049,-3.565515350674,
Harrogate,England,North Yorkshire,Northern,No,53.9931776989233,-1.5376079204885,
Harrow & Wealdstone,England,London (City Of),London Underground,No,51.5921675321223,-0.33457147846876,
Harrow-On-The-Hill,England,London (City Of),London Underground,No,51.579184471159,-0.337225439219032,
Hartford,England,Cheshire,West Midlands Trains,No,53.2417607399611,-2.55362979154538,
Hartlebury,England,Worcestershire,West Midlands Trains,No,52.3344969155012,-2.22111919263343,
Hartlepool,England,Durham (County Durham),Northern,No,54.6867558547517,-1.20731631414055,
Hartwood,Scotland,North Lanarkshire,ScotRail,No,55.8114851855931,-3.83932267619151,
Harwich International,England,Essex,Greater Anglia,No,51.9472857114404,1.25512425866301,
Harwich Town,England,Essex,Greater Anglia,No,51.944141549483,1.28668168375527,
Haslemere ,England,Surrey,South Western Railway,No,51.0886476526168,-0.719162655679867,
Hassocks,England,West Sussex,GTR,No,50.924614335082,-0.145953060436374,
Hastings,England,East Sussex,Southeastern,No,50.8578932386026,0.576741777140467,
Hatch End,England,London (City Of),London Overground,No,51.6094158356294,-0.368601442845824,
Hatfield,England,Hertfordshire,GTR,No,51.7638781481545,-0.215588611336329,
Hatfield and Stainforth,England,South Yorkshire,Northern,No,53.588715369983,-1.02337734015074,
Hatfield Peveral,England,Essex,Greater Anglia,No,51.779861704123,0.592123687236409,
Hathersage,England,Derbyshire,Northern,No,53.3257741591574,-1.65171878780769,
Hattersley,England,Greater Manchester,Northern,No,53.4452841948788,-2.04031078957584,
Hatton,England,Warwickshire,Chiltern Railways,No,52.2952788704628,-1.67297532730639,
Havant ,England,Hampshire,South Western Railway,No,50.8544269692514,-0.981611527950092,
Havenhouse,England,Lincolnshire,East Midlands Trains,No,53.114466340323,0.273167403728549,
Haverfordwest,Wales,Sir Benfro - Pembrokeshire,Transport for Wales,No,51.8026384131424,-4.96020453877437,
Hawarden,Wales,Sir y Fflint - Flintshire,Transport for Wales,No,53.1853618146971,-3.03208124084354,
Hawarden Bridge,Wales,Sir y Fflint - Flintshire,Transport for Wales,No,53.2180772345693,-3.03271795160088,
Hawkhead,Scotland,Renfrewshire,ScotRail,No,55.8421957168704,-4.39885190900689,
Haydon Bridge,England,Northumberland,Northern,No,54.9751777312745,-2.24758798745447,
Haydons Road,England,London (City Of),GTR,No,51.425446553852,-0.188814710581538,
Hayes & Harlington,England,London (City Of),TfL Rail,No,51.5030945965267,-0.420683554973587,
Hayes (Kent),England,London (City Of),Southeastern,No,51.3763321232389,0.0105567062139241,
Hayle,England,Cornwall,Great Western Railway,No,50.1855697972892,-5.41983779753694,
Haymarket,Scotland,City of Edinburgh,ScotRail,No,55.9458113188022,-3.21845001667666,
Haywards Heath,England,West Sussex,GTR,No,51.0056801393227,-0.105077782185401,
Hazel Grove,England,Greater Manchester,Northern,No,53.3775448908927,-2.12201962095665,
Headbolt Lane,England,Merseyside,Merseyrail,No,53.491169,-2.88488,
Headcorn,England,Kent,Southeastern,No,51.1657114899798,0.62748171317346,
Headingley,England,West Yorkshire,Northern,No,53.817974913036,-1.59418817772074,
Headstone Lane,England,London (City Of),London Overground,No,51.6026478723801,-0.357219842613383,
Heald Green,England,Greater Manchester,Northern,No,53.3694176683483,-2.23666763361194,
Healing,England,Lincolnshire,East Midlands Trains,No,53.5817975356706,-0.160629930021024,
Heath High Level,Wales,Caerdydd - Cardiff,Transport for Wales,No,51.5164339089399,-3.18154198686081,
Heath Low Level,Wales,Caerdydd - Cardiff,Transport for Wales,No,51.5156652992385,-3.1819688594128,
Heathrow Terminal 4,England,London (City Of),Heathrow Express,No,51.4582666803366,-0.445463475456846,
Heathrow Terminal 5,England,London (City Of),Heathrow Express,No,51.4700516499841,-0.490589046493648,
Heathrow Terminals 2 & 3,England,London (City Of),Heathrow Express,No,51.4714047217375,-0.454332698147952,
Heaton Chapel,England,Greater Manchester,Northern,No,53.4255617922317,-2.17904178739946,
Hebden Bridge,England,West Yorkshire,Northern,No,53.7375891074878,-2.00905895282527,
Heckington,England,Lincolnshire,East Midlands Trains,No,52.9773165555413,-0.293944436525981,
Hedge End ,England,Hampshire,South Western Railway,No,50.9323199468244,-1.29450345192803,
